Repositorio,Criado Em,Estrelas,Linguagens,Frequencia issues
apple/container,2025-05-30T21:26:05Z,49074,"Swift, Shell, Makefile, C",50 issues/mês
JuliaLang/julia,2011-04-21T07:01:50Z,49018,"Julia, C, C++, Tree-sitter Query, Makefile",150 issues/mês
bigskysoftware/htmx,2020-04-13T16:17:51Z,48978,"JavaScript, HTML, CSS, TypeScript, Ruby",10 issues/mês
calesthio/OpenMontage,2026-03-29T15:23:22Z,48918,"Python, HTML, JavaScript, TypeScript, CSS",11 issues/mês
stablyai/orca,2026-03-17T03:28:57Z,48915,"TypeScript, JavaScript, Swift, CSS, HTML",Múltiplas issues no mesmo dia
metabase/metabase,2015-02-02T19:25:47Z,48834,"Clojure, TypeScript, JavaScript, CSS, Shell",Múltiplas issues no mesmo dia
akullpp/awesome-java,2014-07-09T10:12:43Z,48786,Sem linguagem,0 issues/mês
tmux/tmux,2015-06-03T23:32:55Z,48721,"C, Shell, Roff, Yacc, M4",42 issues/mês
algorithm-visualizer/algorithm-visualizer,2016-05-15T00:27:45Z,48671,"JavaScript, SCSS, HTML, Java, C++",0 issues/mês
iamkun/dayjs,2018-04-10T09:26:44Z,48664,JavaScript,4 issues/mês
DovAmir/awesome-design-patterns,2018-06-04T17:47:48Z,48620,Sem linguagem,0 issues/mês
upscayl/upscayl,2022-07-30T17:19:20Z,48611,"TypeScript, JavaScript, CSS, Python, Shell",11 issues/mês
mudler/LocalAI,2023-03-18T22:58:02Z,48579,"Go, JavaScript, C++, Python, HTML",100 issues/mês
KRTirtho/spotube,2021-02-14T03:17:58Z,48499,"Dart, MDX, C++, Astro, CMake",15 issues/mês
nilbuild/design-patterns-for-humans,2017-02-16T21:24:39Z,48460,Sem linguagem,0 issues/mês
type-challenges/type-challenges,2020-07-23T14:33:11Z,48445,"TypeScript, HTML, CSS, JavaScript, Shell",75 issues/mês
Aider-AI/aider,2023-05-09T18:57:49Z,48324,"Python, CSS, Shell, Tree-sitter Query, JavaScript",100 issues/mês
brillout/awesome-react-components,2016-06-24T15:19:33Z,48228,Sem linguagem,0 issues/mês
ReactiveX/RxJava,2013-01-08T20:11:48Z,48202,"Java, CSS, Shell",13 issues/mês
slidevjs/slidev,2021-04-24T01:25:23Z,48152,"TypeScript, Vue, JavaScript, CSS, HTML",8 issues/mês
moeru-ai/airi,2024-12-01T16:33:36Z,48093,"TypeScript, Vue, GDScript, C#, JavaScript",25 issues/mês
pixijs/pixijs,2013-01-21T22:40:50Z,48036,"TypeScript, JavaScript, MDX, WGSL, CSS",7 issues/mês
hugohe3/ppt-master,2025-12-10T06:54:33Z,47989,"Python, JavaScript, HTML, CSS",16 issues/mês
router-for-me/CLIProxyAPI,2025-07-01T19:43:27Z,47919,"Go, PowerShell, Shell, Dockerfile",300 issues/mês
moment/moment,2011-03-01T02:46:06Z,47914,"JavaScript, TypeScript, Shell",1 issues/mês
karan/Projects,2013-07-04T13:37:27Z,47877,Sem linguagem,1 issues/mês
HKUDS/CLI-Anything,2026-03-08T13:52:57Z,47810,"Python, C#, Shell, JavaScript, TypeScript",12 issues/mês
calcom/cal.diy,2021-03-22T13:47:42Z,47802,"TypeScript, CSS, HTML, PLpgSQL, JavaScript",60 issues/mês
microsoft/qlib,2020-08-14T06:46:00Z,47753,"Python, Cython, Makefile, Shell, JavaScript",4 issues/mês
gogs/gogs,2014-02-12T01:57:08Z,47742,"Go, Go Template, TypeScript, Less, JavaScript",6 issues/mês
minimaxir/big-list-of-naughty-strings,2015-08-08T20:57:20Z,47707,"Python, Go, Shell, Makefile",0 issues/mês
bevyengine/bevy,2020-01-18T21:13:55Z,47702,"Rust, Go Template, HTML, Mermaid",300 issues/mês
discourse/discourse,2013-01-12T00:25:55Z,47675,"Ruby, JavaScript, SCSS, HTML, TypeScript",Sem issues
lukasz-madon/awesome-remote-job,2015-01-02T00:31:34Z,47651,Sem linguagem,1 issues/mês
prisma/prisma,2019-06-20T13:33:47Z,47571,"TypeScript, JavaScript, HTML",37 issues/mês
oobabooga/textgen,2022-12-21T04:17:37Z,47552,"Python, CSS, JavaScript, Shell, Batchfile",9 issues/mês
GitHubDaily/GitHubDaily,2018-12-30T13:56:58Z,47509,Sem linguagem,75 issues/mês
acmesh-official/acme.sh,2015-12-26T12:56:33Z,47489,"Shell, Dockerfile",50 issues/mês
jeecgboot/JeecgBoot,2018-11-26T10:40:00Z,47415,"Java, Vue, Less, TypeScript, Python",100 issues/mês
dypsilon/frontend-dev-bookmarks,2013-06-22T13:23:55Z,47393,Sem linguagem,1 issues/mês
coreybutler/nvm-windows,2014-09-20T16:37:28Z,47390,"Go, Inno Setup, JavaScript, Batchfile, VBScript",4 issues/mês
slab/quill,2012-07-30T23:23:18Z,47304,"TypeScript, MDX, JavaScript, SCSS, Stylus",4 issues/mês
rohitg00/ai-engineering-from-scratch,2026-03-18T18:38:02Z,47185,"Python, JavaScript, TypeScript, HTML, Julia",17 issues/mês
HKUDS/nanobot,2026-02-01T07:16:15Z,47175,"Python, TypeScript, CSS, Shell, JavaScript",100 issues/mês
typescript-cheatsheets/react,2018-06-02T04:08:16Z,47099,"TypeScript, JavaScript, CSS",0 issues/mês
lysine-dev/okhttp,2012-07-23T13:42:55Z,47051,"Kotlin, Java, Shell",42 issues/mês
elder-plinius/CL4R1T4S,2025-03-04T20:03:16Z,47041,Sem linguagem,5 issues/mês
gedoor/legado,2019-05-22T04:18:58Z,47009,"Kotlin, Java, HTML, CSS, Vue",Sem issues
KeygraphHQ/shannon,2025-09-27T01:51:47Z,46939,"TypeScript, JavaScript, Typst, Dockerfile, Shell",6 issues/mês
v2ray/v2ray-core,2015-09-04T11:42:53Z,46934,"Go, Starlark, Shell, Dockerfile, Assembly",1 issues/mês
serverless/serverless,2015-04-21T03:48:40Z,46917,"JavaScript, Python, Go, Java, Shell",8 issues/mês
exo-explore/exo,2024-06-24T18:36:22Z,46885,"Python, Svelte, Swift, TypeScript, Rust",10 issues/mês
multica-ai/multica,2026-01-13T17:59:46Z,46838,"Go, TypeScript, MDX, PLpgSQL, CSS",Múltiplas issues no mesmo dia
kepano/obsidian-skills,2026-01-02T21:45:11Z,46782,Sem linguagem,6 issues/mês
Asabeneh/30-Days-Of-JavaScript,2019-12-23T14:07:40Z,46716,"JavaScript, HTML",0 issues/mês
hiroi-sora/Umi-OCR,2022-03-28T04:01:46Z,46688,"Python, QML",5 issues/mês
SimplifyJobs/Summer2027-Internships,2020-05-23T20:53:18Z,46577,Python,27 issues/mês
zhayujie/CowAgent,2022-08-07T08:33:41Z,46571,"Python, TypeScript, JavaScript, HTML, CSS",50 issues/mês
microsoft/monaco-editor,2016-06-07T16:56:31Z,46556,"JavaScript, TypeScript, HTML, CSS, SCSS",12 issues/mês
apache/airflow,2015-04-13T18:04:58Z,46536,"Python, TypeScript, Go, JavaScript, Shell",300 issues/mês
usebruno/bruno,2022-09-27T20:51:45Z,46408,"JavaScript, TypeScript, Bru, HTML, CSS",60 issues/mês
LeCoupa/awesome-cheatsheets,2017-11-09T02:47:15Z,46377,"JavaScript, CSS, Shell, PHP, TypeScript",0 issues/mês
9001/copyparty,2019-05-26T15:28:33Z,46307,"Python, JavaScript, Shell, CSS, HTML",21 issues/mês
docker/awesome-compose,2020-02-13T08:51:42Z,46119,"HTML, Dockerfile, Rust, TypeScript, Java",4 issues/mês
ziishaned/learn-regex,2017-07-22T12:21:03Z,46078,Sem linguagem,0 issues/mês
Alishahryar1/free-claude-code,2026-01-28T19:02:30Z,46070,"Python, PowerShell, Shell, JavaScript, CSS",300 issues/mês
iina/iina,2016-12-19T07:18:45Z,46010,"Swift, Objective-C, Shell, Ruby, Rich Text Format",60 issues/mês
RocketChat/Rocket.Chat,2015-05-19T07:36:09Z,46005,"TypeScript, JavaScript, HTML, SCSS, PEG.js",50 issues/mês
jgm/pandoc,2010-03-20T20:34:23Z,45938,"Haskell, Roff, Rich Text Format, HTML, Lua",50 issues/mês
coqui-ai/TTS,2020-05-20T15:45:28Z,45917,"Python, Jupyter Notebook, HTML, Shell, Makefile",2 issues/mês
cli/cli,2019-10-03T15:24:53Z,45890,"Go, Shell, Makefile, PowerShell, Batchfile",300 issues/mês
siyuan-note/siyuan,2020-08-30T09:21:35Z,45888,"TypeScript, Go, JavaScript, SCSS, HTML",Múltiplas issues no mesmo dia
helix-editor/helix,2020-06-01T04:26:56Z,45880,"Rust, Tree-sitter Query, Handlebars, Nix, CSS",17 issues/mês
DIYgod/RSSHub,2018-04-02T14:43:21Z,45810,"TypeScript, JavaScript, Nix, Dockerfile, Shell",27 issues/mês
DavidHDev/react-bits,2024-08-06T06:54:54Z,45810,"JavaScript, TypeScript, CSS, HTML",27 issues/mês
android/architecture-samples,2016-02-05T13:42:07Z,45795,Kotlin,0 issues/mês
zhongyang219/TrafficMonitor,2017-07-30T02:51:17Z,45780,"C++, C, Batchfile",14 issues/mês
milvus-io/milvus,2019-09-16T06:43:43Z,45698,"Go, C++, Python, Shell, Groovy",Múltiplas issues no mesmo dia
google/zx,2021-05-05T05:50:01Z,45675,"JavaScript, TypeScript, Dockerfile",1 issues/mês
karanpratapsingh/system-design,2022-08-15T18:59:54Z,45640,Sem linguagem,0 issues/mês
QuantumNous/new-api,2023-11-10T19:33:36Z,45607,"Go, TypeScript, CSS, JavaScript, Makefile",300 issues/mês
abhigyanpatwari/GitNexus,2025-08-02T23:20:31Z,45582,"TypeScript, JavaScript, Python, Shell, Jinja",100 issues/mês
streamlit/streamlit,2019-08-24T00:14:52Z,45574,"Python, TypeScript, JavaScript, Makefile, Shell",42 issues/mês
ColorlibHQ/AdminLTE,2013-12-25T02:52:40Z,45546,"Astro, CSS, MDX, SCSS, TypeScript",37 issues/mês
Leaflet/Leaflet,2010-09-22T16:57:44Z,45495,"JavaScript, HTML, CSS, Handlebars",10 issues/mês
jestjs/jest,2013-12-10T00:18:04Z,45468,"TypeScript, JavaScript, CSS, Shell, Handlebars",8 issues/mês
isocpp/CppCoreGuidelines,2015-08-19T20:22:52Z,45252,"CSS, Python, HTML, Makefile",1 issues/mês
grpc/grpc,2014-12-08T18:58:53Z,45231,"C++, Python, Starlark, C, Shell",15 issues/mês
sickn33/agentic-awesome-skills,2026-01-14T17:48:09Z,45137,"Python, JavaScript, Shell, HTML, TypeScript",9 issues/mês
GitSquared/edex-ui,2017-01-28T09:35:02Z,45043,"JavaScript, CSS, HTML",9 issues/mês
pyenv/pyenv,2012-08-31T06:57:52Z,45032,"Shell, Python, Makefile, C, Roff",4 issues/mês
fastapi/full-stack-fastapi-template,2019-02-23T15:08:34Z,44959,"TypeScript, Python, HTML, CSS, Dockerfile",1 issues/mês
MHSanaei/3x-ui,2023-02-09T19:16:57Z,44937,"Go, TypeScript, Shell, CSS, JavaScript",Múltiplas issues no mesmo dia
coreyhaines31/marketingskills,2026-01-15T19:45:23Z,44883,"JavaScript, HTML, Shell",12 issues/mês
react-hook-form/react-hook-form,2019-03-05T23:47:10Z,44822,"TypeScript, JavaScript, CSS, HTML",14 issues/mês
meteor/meteor,2012-01-19T01:58:17Z,44809,"JavaScript, TypeScript, Shell, Java, Swift",20 issues/mês
sudheerj/reactjs-interview-questions,2018-05-31T17:17:01Z,44740,"JavaScript, TypeScript, CSS, HTML",0 issues/mês
mitmproxy/mitmproxy,2010-02-16T04:10:13Z,44737,"Python, TypeScript, JavaScript, Less, HTML",12 issues/mês
DataTalksClub/data-engineering-zoomcamp,2021-10-21T09:32:50Z,44734,"Jupyter Notebook, Python, Java, Shell, HCL",1 issues/mês
vercel/hyper,2016-07-01T06:01:21Z,44695,"TypeScript, Shell, NSIS, HTML, JavaScript",1 issues/mês
files-community/Files,2019-01-04T18:19:14Z,44677,"C#, C++",37 issues/mês
vnpy/vnpy,2015-03-02T03:36:58Z,44617,"Python, Shell, Batchfile",5 issues/mês
getsentry/sentry,2010-08-30T22:06:41Z,44575,"Python, TypeScript, MDX, HTML, Less",42 issues/mês
logseq/logseq,2020-05-23T00:06:06Z,44510,"Clojure, OCaml, JavaScript, CSS, Swift",30 issues/mês
spf13/cobra,2013-09-03T20:40:26Z,44465,"Go, Makefile",4 issues/mês
charmbracelet/bubbletea,2020-01-10T21:04:03Z,44457,Go,4 issues/mês
paperless-ngx/paperless-ngx,2022-02-12T21:56:52Z,44408,"Python, TypeScript, HTML, SCSS, Shell",150 issues/mês
NaiboWang/EasySpider,2020-07-18T02:41:27Z,44372,"JavaScript, Python, HTML, CSS, Vue",1 issues/mês
AykutSarac/jsoncrack.com,2022-01-30T15:25:18Z,44298,"TypeScript, JavaScript, CSS, Dockerfile, Shell",1 issues/mês
payloadcms/payload,2021-01-05T18:49:45Z,44268,"TypeScript, CSS, JavaScript, SCSS, Dockerfile",60 issues/mês
sharkdp/fd,2017-05-09T21:27:10Z,44139,"Rust, Shell, Makefile, Awk",7 issues/mês
janhq/jan,2023-08-17T02:17:10Z,44052,"TypeScript, Rust, Swift, Python, JavaScript",300 issues/mês
streamich/react-use,2018-10-27T10:16:05Z,44019,"TypeScript, JavaScript",1 issues/mês
parcel-bundler/parcel,2017-08-07T16:36:47Z,44019,"JavaScript, Rust, TypeScript, HTML, CSS",4 issues/mês
Kong/kong,2014-11-17T23:56:08Z,44003,"Lua, Perl, Raku, Starlark, Shell",23 issues/mês
yangshun/front-end-interview-handbook,2018-01-13T19:40:08Z,43990,"JavaScript, CSS, TypeScript",0 issues/mês
babel/babel,2014-09-28T13:38:23Z,43986,"TypeScript, JavaScript, Shell, Makefile, HTML",15 issues/mês
zen-browser/desktop,2024-03-28T00:05:55Z,43980,"JavaScript, Fluent, C++, HTML, CSS",150 issues/mês
lysine-dev/retrofit,2010-09-06T21:39:43Z,43934,"Java, Kotlin",1 issues/mês
astaxie/build-web-application-with-golang,2012-08-02T11:49:35Z,43901,"Go, Groovy, Shell, Python",0 issues/mês
apache/spark,2014-02-25T08:00:08Z,43840,"Scala, Python, Java, Jupyter Notebook, HiveQL",12 issues/mês
DataExpert-io/data-engineer-handbook,2023-11-19T19:47:41Z,43784,"Jupyter Notebook, Python, Makefile, Dockerfile, Shell",2 issues/mês
aymericdamien/TensorFlow-Examples,2015-11-11T14:21:19Z,43732,"Jupyter Notebook, Python",0 issues/mês
ccxt/ccxt,2017-05-14T15:41:56Z,43665,"Python, C#, Go, TypeScript, Java",300 issues/mês
ray-project/ray,2016-10-25T19:38:30Z,43558,"Python, C++, Java, Starlark, TypeScript",300 issues/mês
juspay/hyperswitch,2022-10-17T11:18:28Z,43502,"Rust, JavaScript, MDX, Shell, HTML",300 issues/mês
colinhacks/zod,2020-03-07T20:59:08Z,43492,"TypeScript, MDX, HTML, JavaScript, CSS",42 issues/mês
danielmiessler/Fabric,2024-01-03T23:18:31Z,43480,"Go, Svelte, TypeScript, Python, Shell",3 issues/mês
gradio-app/gradio,2018-12-19T08:24:04Z,43386,"Python, TypeScript, Svelte, mdsvex, CSS",37 issues/mês
Light-City/CPlusPlusThings,2019-07-14T08:45:45Z,43363,"C++, Starlark, C",0 issues/mês
ziglang/zig,2015-08-06T00:51:28Z,43316,"Zig, C, C++, Python, CMake",2 issues/mês
alex/what-happens-when,2013-11-07T04:30:06Z,43293,Sem linguagem,0 issues/mês
Unitech/pm2,2013-05-21T03:25:25Z,43269,"JavaScript, Shell, Smarty, Go Template, Dockerfile",8 issues/mês
HeyPuter/puter,2024-03-03T01:44:32Z,43106,"TypeScript, JavaScript, CSS, HTML, Shell",27 issues/mês
zbezj/HEU_KMS_Activator,2019-06-23T00:49:35Z,43098,Sem linguagem,2 issues/mês
FuelLabs/fuels-rs,2021-10-31T22:33:54Z,43066,"Rust, Sway, Shell",1 issues/mês
mifi/lossless-cut,2016-10-30T10:49:56Z,43038,"TypeScript, CSS, SCSS, JavaScript, HTML",30 issues/mês
FuelLabs/fuels-ts,2021-09-03T18:11:03Z,43028,"TypeScript, Sway, JavaScript, CSS, Handlebars",1 issues/mês
Imbad0202/academic-research-skills,2026-02-26T06:31:01Z,43022,"Python, Shell, JavaScript, jq, TeX",150 issues/mês
juanfont/headscale,2020-06-21T09:21:05Z,43004,"Go, Nix, Shell, CSS, Makefile",17 issues/mês
deepspeedai/DeepSpeed,2020-01-23T18:35:18Z,42962,"Python, C++, Cuda, C, Shell",25 issues/mês
faif/python-patterns,2012-06-06T21:02:35Z,42933,"Python, Makefile, Shell",0 issues/mês
curl/curl,2010-03-18T22:32:22Z,42639,"C, Perl, Python, M4, CMake",37 issues/mês
k88hudson/git-flight-rules,2014-07-22T20:35:09Z,42595,Sem linguagem,0 issues/mês
mingrammer/diagrams,2020-02-02T15:23:24Z,42524,"Python, TypeScript, CSS, JavaScript, HTML",1 issues/mês
apachecn/ailearning,2017-02-25T08:53:02Z,42464,"Python, JavaScript, CSS, Jupyter Notebook, HTML",0 issues/mês
Alamofire/Alamofire,2014-07-31T05:56:19Z,42415,"Swift, Ruby",1 issues/mês
danny-avila/LibreChat,2023-02-12T01:06:52Z,42233,"TypeScript, JavaScript, Go, CSS, Handlebars",Múltiplas issues no mesmo dia
imputnet/cobalt,2022-07-08T18:12:55Z,42143,"Svelte, JavaScript, TypeScript, CSS, HTML",6 issues/mês
saadeghi/daisyui,2020-11-28T22:57:27Z,42126,"JavaScript, Svelte, HTML, CSS",14 issues/mês
666ghj/BettaFish,2024-07-01T13:11:38Z,42039,"Python, Jupyter Notebook, Dockerfile",4 issues/mês
fastlane/fastlane,2014-12-02T17:00:38Z,42004,"Ruby, Swift, HTML, Objective-C, Java",8 issues/mês
LC044/WeChatMsg,2023-01-11T05:03:49Z,41972,Sem linguagem,Sem issues
nolimits4web/swiper,2012-03-14T19:11:45Z,41884,"TypeScript, JavaScript, CSS, HTML, Vue",6 issues/mês
psf/black,2018-03-14T19:54:45Z,41808,"Python, Vim Script, Jupyter Notebook, Dockerfile",12 issues/mês
agno-agi/agno,2022-05-04T15:23:02Z,41784,"Python, Shell, HTML, Batchfile, PowerShell",100 issues/mês
hexojs/hexo,2012-09-23T15:17:08Z,41771,"TypeScript, JavaScript",2 issues/mês
aria2/aria2,2010-11-27T09:41:48Z,41745,"C++, C, M4, Makefile, Shell",2 issues/mês
freefq/free,2020-06-07T02:48:33Z,41736,Sem linguagem,20 issues/mês
dylanaraps/pure-bash-bible,2018-06-13T01:39:33Z,41719,Shell,0 issues/mês
heygen-com/hyperframes,2026-03-10T01:51:06Z,41672,"TypeScript, JavaScript, Shell, Python, CSS",150 issues/mês
chubin/cheat.sh,2017-05-07T21:40:56Z,41660,"Python, Shell, HTML, Go, Dockerfile",1 issues/mês
dcloudio/uni-app,2018-07-12T08:52:39Z,41598,"JavaScript, Swift, Objective-C, Kotlin, C++",10 issues/mês
apache/dubbo,2012-06-19T07:56:02Z,41553,"Java, Groovy, Mustache, Shell, Batchfile",13 issues/mês
sxyazi/yazi,2023-07-08T11:45:55Z,41489,"Rust, Lua, JavaScript, Nix, Shell",60 issues/mês
yarnpkg/yarn,2016-01-19T17:39:16Z,41485,"JavaScript, Shell, PowerShell, Groovy, Batchfile",2 issues/mês
tabler/tabler,2018-02-01T09:08:59Z,41484,"Astro, TypeScript, SCSS, HTML, JavaScript",30 issues/mês
chatboxai/chatbox,2023-03-06T12:22:15Z,41475,"TypeScript, JavaScript, CSS, EJS, HTML",37 issues/mês
hpcaitech/ColossalAI,2021-10-28T16:19:44Z,41437,"Python, Cuda, HTML, C++, Shell",1 issues/mês
exelban/stats,2019-05-29T19:24:56Z,41294,"Swift, C++, Python, C, Objective-C",300 issues/mês
nwjs/nw.js,2012-01-04T06:21:10Z,41161,"JavaScript, C++, Python, HTML, Objective-C++",4 issues/mês
amruthpillai/reactive-resume,2020-03-25T14:08:22Z,41143,"TypeScript, CSS, JavaScript, Dockerfile, HTML",300 issues/mês
styled-components/styled-components,2016-08-16T06:41:32Z,41122,"TypeScript, JavaScript, Ruby, Kotlin, Swift",3 issues/mês
XTLS/Xray-core,2020-11-09T11:23:10Z,41116,"Go, HTML, Shell, Assembly",75 issues/mês
luongnv89/claude-howto,2025-11-07T22:59:34Z,41104,"Python, Shell, HTML, Jinja, JavaScript",21 issues/mês
vuetifyjs/vuetify,2016-09-12T00:39:35Z,41030,"TypeScript, Vue, Sass, SCSS, JavaScript",50 issues/mês
bailicangdu/vue2-elm,2016-12-23T01:49:20Z,41026,"Vue, JavaScript, SCSS, HTML",0 issues/mês
gkd-kit/gkd,2023-07-04T03:59:15Z,41008,"Kotlin, Java, AIDL",8 issues/mês
zai-org/ChatGLM-6B,2023-03-13T12:00:18Z,40989,"Python, Shell",1 issues/mês
vercel-labs/agent-browser,2026-01-11T05:38:15Z,40949,"Rust, TypeScript, JavaScript, Shell, HTML",42 issues/mês
goabstract/Awesome-Design-Tools,2019-02-12T13:55:30Z,40926,JavaScript,1 issues/mês
QSCTech/zju-icicles,2016-06-28T16:17:32Z,40872,"HTML, C, CSS, C++, Python",0 issues/mês
Hmbown/CodeWhale,2026-01-19T18:21:01Z,40827,"Rust, TypeScript, JavaScript, Python, Shell",300 issues/mês
vim/vim,2015-08-18T21:03:56Z,40772,"Vim Script, C, Roff, Makefile, C++",100 issues/mês
facebookresearch/faiss,2017-02-07T16:07:05Z,40768,"C++, Python, Cuda, Objective-C++, CMake",8 issues/mês
ashishps1/awesome-system-design-resources,2023-10-25T01:50:42Z,40766,"Java, Python",0 issues/mês
appsmithorg/appsmith,2020-06-30T04:07:36Z,40707,"TypeScript, Java, JavaScript, CSS, Shell",9 issues/mês
chatanywhere/GPT_API_free,2023-04-23T12:42:08Z,40692,Sem linguagem,3 issues/mês
remoteintech/remote-jobs,2015-10-13T03:49:25Z,40681,"JavaScript, Nunjucks, CSS, Shell",1 issues/mês
bradtraversy/50projects50days,2020-11-16T14:39:01Z,40615,"CSS, HTML, JavaScript",Sem issues
PatrickJS/awesome-cursorrules,2024-09-16T15:38:38Z,40612,JavaScript,2 issues/mês
GyulyVGC/sniffnet,2022-07-31T21:55:56Z,40601,"Rust, Rich Text Format, Shell, Dockerfile",5 issues/mês
chakra-ui/chakra-ui,2019-08-17T14:27:54Z,40585,"TypeScript, MDX, JavaScript, CSS, HTML",9 issues/mês
trpc/trpc,2020-07-18T01:17:11Z,40527,"TypeScript, MDX, JavaScript, CSS",3 issues/mês
ToolJet/ToolJet,2021-03-30T08:51:34Z,40501,"JavaScript, TypeScript, SCSS, Dockerfile, Shell",60 issues/mês
pingcap/tidb,2015-09-06T04:01:52Z,40448,"Go, Starlark, Shell, Yacc, Jsonnet",Múltiplas issues no mesmo dia
duckdb/duckdb,2018-06-26T15:04:45Z,40436,"C++, Python, C, Swift, CMake",300 issues/mês
wg/wrk,2012-03-20T11:12:28Z,40389,"C, Lua, Makefile, C++",Sem issues
LizardByte/Sunshine,2021-12-15T23:38:57Z,40330,"C++, CMake, HTML, Vue, Objective-C++",33 issues/mês
php/php-src,2011-06-16T01:52:25Z,40297,"C, PHP, C++, Shell, M4",150 issues/mês
nushell/nushell,2019-05-10T16:59:42Z,40295,"Rust, Nushell, Nix, Python, JavaScript",100 issues/mês
CorentinTh/it-tools,2020-04-05T11:50:24Z,40286,"Vue, TypeScript, JavaScript, HTML, Dockerfile",6 issues/mês
ManimCommunity/manim,2020-05-19T02:37:13Z,40261,"Python, GLSL, Dockerfile, Jupyter Notebook, TeX",16 issues/mês
outline/outline,2016-05-22T21:31:47Z,40248,"TypeScript, JavaScript, HTML, Dockerfile, Makefile",50 issues/mês
phaserjs/phaser,2013-04-12T12:27:51Z,40170,"JavaScript, GLSL, TypeScript",5 issues/mês
microsoft/BitNet,2024-08-05T09:07:38Z,40103,"C++, Python, Shell, CMake, C",16 issues/mês
photoprism/photoprism,2018-01-27T12:00:15Z,40089,"Go, JavaScript, Vue, Dockerfile, CSS",30 issues/mês
gofiber/fiber,2020-01-16T03:59:20Z,40069,"Go, Makefile",9 issues/mês
google-research/bert,2018-10-25T22:57:34Z,40047,"Python, Jupyter Notebook",0 issues/mês
langchain-ai/langgraph,2023-08-09T18:33:12Z,40025,"Python, Makefile, TypeScript, JavaScript, Dockerfile",75 issues/mês
evanw/esbuild,2016-06-14T16:08:50Z,40007,"Go, JavaScript, TypeScript, Makefile, HTML",23 issues/mês
Kong/insomnia,2016-04-23T03:54:26Z,39956,"TypeScript, CSS, JavaScript, MDX, C++",15 issues/mês
schollz/croc,2017-10-17T15:20:18Z,39952,"Go, TypeScript, CSS, Shell, JavaScript",100 issues/mês
go-gorm/gorm,2013-10-25T08:31:38Z,39909,"Go, Shell",5 issues/mês
koalaman/shellcheck,2012-11-17T03:15:11Z,39894,"Haskell, Shell, Dockerfile",15 issues/mês
siddharthvaddem/openscreen,2025-10-10T05:36:55Z,39869,"TypeScript, C++, JavaScript, Swift, CSS",37 issues/mês
videojs/video.js,2010-05-14T18:45:10Z,39860,"JavaScript, SCSS, CSS, HTML",4 issues/mês
llvm/llvm-project,2016-12-07T09:39:33Z,39826,"LLVM, C++, C, Assembly, MLIR",Múltiplas issues no mesmo dia
2noise/ChatTTS,2024-05-27T18:26:49Z,39771,"Python, Go, Shell",1 issues/mês
vadimdemedes/ink,2017-06-12T06:12:28Z,39691,TypeScript,3 issues/mês
novuhq/novu,2021-08-26T15:22:44Z,39616,"TypeScript, JavaScript, Python, CSS, Shell",20 issues/mês
mindsdb/mindshub,2018-08-02T17:56:45Z,39606,"Makefile, Dockerfile",3 issues/mês
qbittorrent/qBittorrent,2012-02-04T09:37:46Z,39569,"C++, JavaScript, HTML, Python, CSS",60 issues/mês
floodsung/Deep-Learning-Papers-Reading-Roadmap,2016-10-14T11:49:48Z,39547,Python,0 issues/mês
DeusData/codebase-memory-mcp,2026-02-24T22:01:00Z,39546,"C, C++, Shell, Python, TypeScript",Múltiplas issues no mesmo dia
google/styleguide,2015-05-20T19:18:59Z,39514,"HTML, XSLT, CSS, JavaScript, Emacs Lisp",1 issues/mês
lm-sys/FastChat,2023-03-19T00:18:02Z,39511,"Python, Jupyter Notebook, Shell, Dockerfile",11 issues/mês
halo-dev/halo,2018-03-21T12:56:52Z,39505,"Java, TypeScript, Vue, HTML, JavaScript",20 issues/mês
bojieli/ai-agent-book,2025-09-09T02:41:44Z,39440,"Python, JavaScript, TeX, TypeScript, HTML",50 issues/mês
QuivrHQ/quivr,2023-05-12T23:53:30Z,39406,"Python, Shell",4 issues/mês
TeamNewPipe/NewPipe,2015-09-03T23:39:26Z,39400,"Java, Kotlin, HTML, Swift",60 issues/mês
pola-rs/polars,2020-05-13T19:45:33Z,39394,"Rust, Python, Makefile, Nix, CSS",300 issues/mês
AstrBotDevs/AstrBot,2022-12-08T13:27:46Z,39383,"Python, Vue, TypeScript, JavaScript, HTML",300 issues/mês
google/leveldb,2014-08-27T21:17:52Z,39336,"C++, C, CMake",2 issues/mês
freeCodeCamp/devdocs,2013-10-24T18:16:07Z,39310,"Ruby, JavaScript, SCSS, HTML, CSS",4 issues/mês
suno-ai/bark,2023-04-07T19:34:48Z,39239,"Jupyter Notebook, Python",1 issues/mês
ShareX/ShareX,2013-10-08T23:32:10Z,39198,"C#, PowerShell, Inno Setup, CSS, HTML",33 issues/mês
drawdb-io/drawdb,2023-07-16T17:09:20Z,39161,"JavaScript, CSS, HTML, Dockerfile",5 issues/mês
HKUDS/LightRAG,2024-10-02T11:57:54Z,38990,"Python, TypeScript, Shell, JavaScript, CSS",60 issues/mês
google/googletest,2015-07-28T15:07:53Z,38939,"C++, Python, C, Starlark, CMake",9 issues/mês
wshobson/agents,2025-07-24T23:28:14Z,38924,"Python, C#, Shell, Makefile",21 issues/mês
deepseek-ai/awesome-deepseek-integration,2024-01-11T02:43:17Z,38860,Sem linguagem,3 issues/mês
datalab-to/marker,2023-10-30T20:14:08Z,38860,"Python, Shell",13 issues/mês
