Repositorio,Criado Em,Estrelas,Tags
anthropics/claude-code,2025-02-22T17:41:21Z,142001,194
vercel/next.js,2016-10-05T23:32:51Z,141868,4011
ytdl-org/youtube-dl,2010-10-31T14:35:07Z,140975,1120
clash-verge-rev/clash-verge-rev,2023-11-21T18:24:03Z,138859,121
microsoft/PowerToys,2019-05-01T17:44:02Z,137884,144
iptv-org/iptv,2018-11-14T22:00:57Z,136188,0
golang/go,2014-08-19T04:33:40Z,135907,494
labuladong/fucking-algorithm,2020-02-19T09:01:23Z,135385,3
Shubhamsaboo/awesome-llm-apps,2024-04-29T05:30:25Z,133232,0
ripienaar/free-for-dev,2015-03-18T21:06:26Z,132205,0
github/spec-kit,2025-08-21T22:54:31Z,130294,215
excalidraw/excalidraw,2020-01-02T01:04:43Z,130024,21
krahets/hello-algo,2022-11-04T11:08:34Z,129484,10
Chalarangelo/30-seconds-of-code,2017-11-29T17:35:03Z,128744,14
garrytan/gstack,2026-03-11T21:22:45Z,128714,0
Comfy-Org/ComfyUI,2023-01-17T03:15:56Z,128440,179
farion1231/cc-switch,2025-08-04T14:16:16Z,128284,52
react/react-native,2015-01-09T18:10:16Z,126366,687
ggml-org/llama.cpp,2023-03-10T18:58:00Z,124705,7122
kubernetes/kubernetes,2014-06-06T22:56:04Z,124601,1240
electron/electron,2013-04-12T01:47:36Z,122579,3755
shadcn-ui/ui,2023-01-04T12:43:27Z,121651,118
rustdesk/rustdesk,2020-09-28T15:36:08Z,121252,39
nodejs/node,2014-11-26T19:57:11Z,119018,954
Hack-with-Github/Awesome-Hacking,2016-03-30T15:47:10Z,118628,0
justjavac/free-programming-books-zh_CN,2013-11-04T01:59:19Z,118400,3
nextlevelbuilder/ui-ux-pro-max-skill,2025-11-30T11:36:31Z,118190,49
microsoft/generative-ai-for-beginners,2023-06-19T16:28:59Z,118100,0
godotengine/godot,2014-01-04T16:05:36Z,115876,79
rust-lang/rust,2010-06-16T20:39:03Z,115610,161
mrdoob/three.js,2010-03-23T18:58:01Z,114613,177
2dust/v2rayN,2019-07-30T03:47:24Z,114220,336
d3/d3,2010-09-27T17:22:42Z,113496,302
immich-app/immich,2022-02-03T15:56:27Z,111719,327
jaywcjlove/awesome-mac,2016-07-17T15:33:47Z,111435,15
tauri-apps/tauri,2019-07-13T09:09:37Z,110365,1810
microsoft/TypeScript,2014-06-17T15:28:39Z,110208,237
harry0703/MoneyPrinterTurbo,2024-03-11T02:57:34Z,110190,17
browser-use/browser-use,2024-10-31T16:00:56Z,109760,146
VoltAgent/awesome-design-md,2026-03-31T16:37:01Z,109271,0
axios/axios,2014-08-18T22:30:27Z,109199,145
fatedier/frp,2015-12-21T15:24:59Z,108881,117
papers-we-love/papers-we-love,2013-12-15T14:31:41Z,108844,0
denoland/deno,2018-05-15T01:34:26Z,108261,440
Graphify-Labs/graphify,2026-04-03T15:49:07Z,108256,195
supabase/supabase,2019-10-12T05:56:49Z,108163,60
openai/whisper,2022-09-16T20:02:54Z,107622,13
openai/codex,2025-04-13T05:37:54Z,106833,1227
google-gemini/gemini-cli,2025-04-17T17:04:31Z,106577,607
DietrichGebert/ponytail,2026-06-12T00:52:37Z,105852,15
goldbergyoni/nodebestpractices,2017-09-15T08:33:19Z,105588,0
microsoft/terminal,2017-08-11T18:38:22Z,104633,186
deepseek-ai/DeepSeek-V3,2024-12-26T09:52:40Z,104345,1
react/create-react-app,2016-07-17T14:55:11Z,103287,420
rasbt/LLMs-from-scratch,2023-07-23T18:15:57Z,103011,0
pytorch/pytorch,2016-08-13T05:26:41Z,102483,6248
Anduin2017/HowToCook,2020-02-29T10:43:49Z,101895,5
neovim/neovim,2014-01-31T13:39:22Z,101868,62
fastapi/fastapi,2018-12-08T08:21:47Z,101699,305
angular/angular,2014-09-18T16:12:01Z,101006,1305
ruanyf/weekly,2018-10-13T12:36:07Z,100786,375
mtdvio/every-programmer-should-know,2017-08-24T13:18:26Z,100263,0
JuliusBrussee/caveman,2026-04-04T10:03:00Z,99196,27
ant-design/ant-design,2015-04-24T15:37:24Z,99117,817
TauricResearch/TradingAgents,2024-12-28T03:31:08Z,98935,10
mui/material-ui,2014-08-18T19:11:54Z,98865,580
nvbn/thefuck,2015-04-08T15:08:04Z,97715,83
tailwindlabs/tailwindcss,2017-10-06T14:59:14Z,97287,327
florinpop17/app-ideas,2019-02-25T18:36:56Z,96924,0
microsoft/Web-Dev-For-Beginners,2020-11-10T02:44:00Z,96380,0
hacksider/Deep-Live-Cam,2023-09-24T13:19:31Z,96007,17
puppeteer/puppeteer,2017-05-09T22:16:13Z,95464,702
oven-sh/bun,2021-04-14T00:48:17Z,95458,262
ryanmcdermott/clean-code-javascript,2016-11-25T22:25:41Z,94758,0
microsoft/playwright,2019-11-15T18:32:42Z,94746,165
nvm-sh/nvm,2010-04-15T17:47:47Z,94656,106
iluwatar/java-design-patterns,2014-08-09T16:45:18Z,94590,21
karpathy/autoresearch,2026-03-06T22:00:43Z,94155,0
earendil-works/pi,2025-08-09T14:03:50Z,93720,311
punkpeye/awesome-mcp-servers,2024-11-30T04:49:10Z,92567,0
deepseek-ai/DeepSeek-R1,2025-01-20T11:57:28Z,92035,1
3b1b/manim,2015-03-22T18:50:58Z,91712,21
thedotmack/claude-mem,2025-08-31T20:50:03Z,91245,328
ruvnet/RuView,2025-06-07T04:32:30Z,90935,287
storybookjs/storybook,2016-03-18T04:23:44Z,90876,2196
opencv/opencv,2012-07-19T09:40:17Z,90501,132
louislam/uptime-kuma,2021-07-03T01:02:42Z,90351,140
PanJiaChen/vue-element-admin,2017-04-17T03:35:49Z,90206,49
home-assistant/core,2013-09-17T07:29:48Z,89977,1631
bitcoin/bitcoin,2010-12-19T15:16:43Z,89945,366
Stirling-Tools/Stirling-PDF,2023-01-27T18:22:42Z,89860,186
mermaid-js/mermaid,2014-11-01T23:52:32Z,89846,224
sherlock-project/sherlock,2018-12-24T14:30:48Z,89811,3
modelcontextprotocol/servers,2024-11-19T01:10:17Z,89685,45
microsoft/ML-For-Beginners,2021-03-03T01:34:05Z,89535,0
vllm-project/vllm,2023-02-09T11:23:20Z,89457,179
gohugoio/hugo,2013-07-04T15:26:26Z,89449,381
nexu-io/open-design,2026-04-28T04:25:20Z,89276,32
gin-gonic/gin,2014-06-16T23:57:25Z,89083,38
zed-industries/zed,2021-02-20T03:01:06Z,88888,1458
astral-sh/uv,2023-10-02T20:24:11Z,88886,303
infiniflow/ragflow,2023-12-12T06:13:13Z,88830,113
localsend/localsend,2022-12-16T00:46:07Z,88730,27
ChatGPTNextWeb/NextChat,2023-03-10T18:27:54Z,88624,79
addyosmani/agent-skills,2026-02-15T20:20:26Z,88562,9
MunGell/awesome-for-beginners,2015-10-24T19:53:36Z,88520,0
django/django,2012-04-28T02:47:18Z,88475,518
sveltejs/svelte,2016-11-20T18:13:05Z,87979,1030
PaddlePaddle/PaddleOCR,2020-05-08T10:38:16Z,87922,35
