Repositorio,Criado Em,Estrelas,Tags
permissionlesstech/bitchat,2025-07-04T14:34:38Z,35631,23
gchq/CyberChef,2016-11-28T10:34:07Z,35611,506
restic/restic,2014-04-27T14:07:58Z,35596,53
microsoft/graphrag,2024-03-27T17:57:52Z,35582,44
ryanhanwu/How-To-Ask-Questions-The-Smart-Way,2015-03-28T16:52:40Z,35574,0
continuedev/continue,2023-05-24T03:39:39Z,35545,848
refinedev/refine,2021-01-20T12:01:32Z,35534,3046
drizzle-team/drizzle-orm,2021-06-24T09:03:05Z,35519,182
jqlang/jq,2012-07-18T19:57:25Z,35471,19
alvarotrigo/fullPage.js,2013-09-20T11:58:29Z,35409,116
casey/just,2016-06-17T06:08:08Z,35370,181
tailscale/tailscale,2020-01-31T22:00:03Z,35356,239
kuchin/awesome-cto,2016-12-16T19:22:18Z,35342,0
nativefier/nativefier,2015-07-05T05:56:42Z,35285,159
typicode/husky,2014-06-23T12:14:21Z,35277,196
geekcomputers/Python,2011-11-30T09:04:08Z,35263,0
VectifyAI/PageIndex,2025-04-01T10:53:54Z,35251,9
sahat/hackathon-starter,2013-11-13T17:24:12Z,35245,19
blakeblackshear/frigate,2019-01-26T13:52:38Z,35223,160
fxsjy/jieba,2012-09-29T07:52:01Z,35123,28
geekan/HowToLiveLonger,2022-04-16T04:15:18Z,35102,0
DayuanJiang/next-ai-draw-io,2025-03-23T15:03:48Z,35061,18
utmapp/UTM,2019-04-12T16:09:24Z,35057,132
hehonghui/awesome-english-ebooks,2022-06-28T02:45:44Z,35042,4
netty/netty,2010-11-09T09:22:21Z,35039,336
unknwon/the-way-to-go_ZH_CN,2013-03-24T17:18:38Z,35037,0
bumptech/glide,2013-07-08T22:52:33Z,35027,66
sorrycc/awesome-javascript,2014-07-01T15:59:02Z,35016,0
zellij-org/zellij,2020-09-01T14:04:28Z,34998,74
awesome-foss/awesome-sysadmin,2014-12-23T08:41:22Z,34929,0
laravel/framework,2013-01-10T21:27:28Z,34874,1281
gitroomhq/postiz-app,2023-07-08T17:24:22Z,34869,201
esengine/DeepSeek-Reasonix,2026-04-21T08:27:02Z,34864,403
facebookresearch/detectron2,2019-09-05T21:30:20Z,34675,11
qishibo/AnotherRedisDesktopManager,2019-01-08T06:01:56Z,34644,56
TheAlgorithms/C-Plus-Plus,2016-07-16T10:19:45Z,34589,0
BVLC/caffe,2013-09-12T18:39:48Z,34560,14
lissy93/web-check,2023-06-25T14:32:11Z,34541,18
ocrmypdf/OCRmyPDF,2013-12-20T08:26:28Z,34500,304
v2fly/v2ray-core,2019-04-15T10:05:54Z,34491,476
kovidgoyal/kitty,2016-10-16T14:48:28Z,34476,143
nothings/stb,2014-05-25T16:51:23Z,34442,0
anthropics/financial-services,2026-02-23T19:24:50Z,34405,0
raysan5/raylib,2013-10-24T15:46:04Z,34396,25
derailed/k9s,2019-01-25T18:46:02Z,34392,260
SeleniumHQ/selenium,2013-01-14T21:40:56Z,34381,262
CMU-Perceptual-Computing-Lab/openpose,2017-04-24T14:06:31Z,34373,15
huggingface/diffusers,2022-05-30T16:04:02Z,34344,98
xitu/gold-miner,2015-11-04T03:29:13Z,34329,0
jaredpalmer/formik,2017-06-14T19:50:59Z,34323,252
nodejs/node-v0.x-archive,2009-05-27T16:29:46Z,34290,263
python-poetry/poetry,2018-02-28T15:23:47Z,34289,152
TheAlgorithms/JavaScript,2017-07-13T06:12:33Z,34219,0
openai/CLIP,2020-12-16T11:24:42Z,34196,0
balena-io/etcher,2015-10-27T16:53:23Z,34192,319
backstage/backstage,2020-01-24T22:39:49Z,34184,692
swc-project/swc,2017-12-22T11:40:14Z,34177,1373
ehang-io/nps,2018-11-04T13:22:51Z,34168,64
seaweedfs/seaweedfs,2014-07-14T16:41:37Z,34144,355
zenorocha/clipboard.js,2015-09-18T23:04:55Z,34122,42
lightpanda-io/browser,2023-02-07T15:19:34Z,34116,22
aristocratos/btop,2021-05-06T18:40:21Z,34097,55
testerSunshine/12306,2017-05-17T12:23:40Z,34092,1
agentscope-ai/QwenPaw,2026-02-24T03:42:56Z,34090,107
xkcoding/spring-boot-demo,2017-11-10T06:27:29Z,34082,0
lllyasviel/ControlNet,2023-02-01T02:43:30Z,34076,0
zxing/zxing,2011-10-12T14:07:27Z,34070,33
qdrant/qdrant,2020-05-30T21:37:01Z,34062,118
OpenBMB/ChatDev,2023-08-28T02:18:13Z,34051,12
fish-shell/fish-shell,2012-05-10T03:00:55Z,34035,103
chenfei-wu/TaskMatrix,2023-03-02T09:04:28Z,34010,0
MonitorControl/MonitorControl,2017-09-16T21:13:40Z,33995,39
atlassian/react-beautiful-dnd,2017-08-09T03:37:15Z,33949,104
K-Dense-AI/scientific-agent-skills,2025-10-19T20:54:15Z,33911,101
NginxProxyManager/nginx-proxy-manager,2017-12-20T23:01:16Z,33908,89
pcottle/learnGitBranching,2012-08-13T22:36:09Z,33901,0
lib-pku/libpku,2018-11-22T13:33:06Z,33869,0
carbon-language/carbon-lang,2020-04-27T21:45:16Z,33861,767
explosion/spaCy,2014-07-03T15:15:40Z,33832,188
TabbyML/tabby,2023-03-16T09:18:01Z,33829,548
halfrost/LeetCode-Go,2017-07-18T00:06:14Z,33792,6
k3s-io/k3s,2018-05-31T01:37:46Z,33763,1084
SerenityOS/serenity,2018-12-02T19:28:41Z,33761,0
mli/paper-reading,2021-10-22T06:34:51Z,33708,0
anthropics/claude-plugins-official,2025-11-20T18:36:20Z,33696,0
Pythagora-io/gpt-pilot,2023-08-16T11:56:07Z,33694,33
alibaba/easyexcel,2018-02-06T03:14:08Z,33671,56
valinet/ExplorerPatcher,2021-08-09T14:17:24Z,33661,356
anoma/anoma,2021-02-02T10:00:16Z,33659,45
Blankj/AndroidUtilCode,2016-07-30T18:18:32Z,33636,117
binwiederhier/ntfy,2021-10-23T19:25:32Z,33617,112
bayandin/awesome-awesomeness,2014-07-08T05:44:19Z,33609,0
shadowsocks/shadowsocks,2012-04-20T13:10:49Z,33562,18
apache/kafka,2011-08-15T18:06:16Z,33556,314
tinygrad/tinygrad,2020-10-18T16:23:12Z,33466,15
XX-net/XX-Net,2015-01-15T09:35:51Z,33451,408
microsoft/WSL,2016-04-06T17:32:56Z,33442,132
AFNetworking/AFNetworking,2011-05-31T21:28:44Z,33395,68
langfuse/langfuse,2023-05-18T17:47:09Z,33391,667
nicolargo/glances,2011-12-04T08:49:15Z,33379,150
lutzroeder/netron,2010-12-26T12:53:43Z,33368,805
MetaCubeX/mihomo,2021-05-20T11:06:33Z,33363,120
mckaywrigley/chatbot-ui,2023-03-11T14:53:14Z,33338,0
google/comprehensive-rust,2022-12-21T15:17:24Z,33316,0
remix-run/remix,2020-10-26T19:57:28Z,33310,6498
motiondivision/motion,2018-11-16T09:48:38Z,33285,1335
alibaba/nacos,2018-06-15T06:49:27Z,33280,101
zeromicro/go-zero,2020-08-07T15:37:57Z,33264,158
dgtlmoon/changedetection.io,2021-01-27T16:03:30Z,33249,230
waydabber/BetterDisplay,2021-10-24T08:32:56Z,33234,165
certbot/certbot,2014-11-12T02:52:20Z,33205,157
bilibili/ijkplayer,2013-06-03T04:12:04Z,33196,78
linshenkx/prompt-optimizer,2025-02-12T06:06:49Z,33195,50
vbenjs/vue-vben-admin,2020-07-11T02:29:21Z,33171,69
qier222/YesPlayMusic,2020-10-09T10:04:21Z,33171,32
cursor/cursor,2023-03-12T00:19:42Z,33140,0
pear-devs/pear-desktop,2019-04-19T18:14:40Z,33120,94
Leey21/awesome-ai-research-writing,2026-01-30T07:59:30Z,33114,0
datawhalechina/happy-llm,2024-05-28T03:22:50Z,33068,3
immutable-js/immutable-js,2014-07-02T06:02:29Z,33039,108
binarywang/WxJava,2016-01-06T08:24:05Z,33031,66
ibraheemdev/modern-unix,2021-01-12T00:50:14Z,33018,0
adobe/brackets,2011-12-07T21:14:40Z,33014,114
tokio-rs/tokio,2016-09-09T22:31:36Z,32955,395
gulpjs/gulp,2013-07-04T05:26:06Z,32950,24
FreeCAD/FreeCAD,2012-09-09T08:25:02Z,32948,127
AlexsJones/llmfit,2026-02-15T16:11:31Z,32945,131
