Repositorio,Criado Em,Estrelas,Linguagem Primaria,Linguagens
protocolbuffers/protobuf,2014-08-26T15:52:15Z,71737,C++,"C++, C#, C, Java, Objective-C"
toeverything/AFFiNE,2022-07-31T18:45:21Z,71673,TypeScript,"TypeScript, Rust, Swift, Kotlin, JavaScript"
nektos/act,2019-01-02T19:53:43Z,71554,Go,"Go, JavaScript, Shell, Makefile"
Asabeneh/30-Days-Of-Python,2019-11-19T17:24:16Z,71382,Python,"Python, CSS, HTML, Procfile"
binary-husky/gpt_academic,2023-03-20T09:05:13Z,71210,Python,"Python, JavaScript, HTML, CSS, Dockerfile"
666ghj/MiroFish,2025-11-26T04:23:02Z,71202,Python,"Python, Vue, JavaScript, HTML, Dockerfile"
prakhar1989/awesome-courses,2014-11-15T18:36:49Z,70522,Sem linguagem,Sem linguagem
ansible/ansible,2012-03-06T14:58:02Z,70357,Python,"Python, PowerShell, Shell, C#, Jinja"
swiftlang/swift,2015-10-23T21:15:07Z,70258,Swift,"Swift, C++, C, Python, CMake"
FoundationAgents/MetaGPT,2023-06-30T09:04:55Z,69899,Python,"Python, JavaScript, TypeScript, Shell, Dockerfile"
expressjs/express,2009-06-26T18:56:01Z,69382,JavaScript,JavaScript
base/node,2023-02-01T13:55:02Z,68430,Shell,"Shell, Dockerfile"
ruvnet/ruflo,2025-06-02T21:24:20Z,68310,TypeScript,"TypeScript, JavaScript, Shell, Svelte, Rust"
code-yeongyu/oh-my-openagent,2025-12-03T01:40:05Z,68096,TypeScript,"TypeScript, JavaScript, HTML, Shell, Python"
openinterpreter/openinterpreter,2023-07-14T07:10:44Z,68071,Rust,"Rust, Python, Starlark, TypeScript, Shell"
chartjs/Chart.js,2013-03-17T23:56:36Z,67642,JavaScript,"JavaScript, TypeScript, Shell, HTML"
BurntSushi/ripgrep,2016-03-11T02:02:33Z,67405,Rust,"Rust, Python, Shell, Roff, Ruby"
labmlai/annotated_deep_learning_paper_implementations,2020-08-25T02:29:34Z,67314,Python,"Python, Jupyter Notebook, Makefile"
apache/echarts,2013-04-03T03:18:59Z,67095,TypeScript,"TypeScript, JavaScript, Go Template, HTML, Shell"
gorhill/uBlock,2015-04-01T17:51:11Z,67087,JavaScript,"JavaScript, CSS, HTML, WebAssembly, Shell"
colbymchenry/codegraph,2026-01-18T21:45:37Z,67074,C,"C, TypeScript, Rust, JavaScript, Shell"
scikit-learn/scikit-learn,2010-08-17T09:43:38Z,66971,Python,"Python, Cython, C++, Shell, C"
headroomlabs-ai/headroom,2026-01-07T19:58:51Z,66870,Python,"Python, Rust, JavaScript, TypeScript, HTML"
bradtraversy/design-resources-for-developers,2020-05-06T14:40:35Z,66697,Sem linguagem,Sem linguagem
xtekky/gpt4free,2023-03-29T17:00:43Z,66564,Python,"Python, Go, Shell, HTML, Dockerfile"
sindresorhus/awesome-nodejs,2014-07-11T13:35:34Z,66560,Sem linguagem,Sem linguagem
leonardomso/33-js-concepts,2018-09-04T13:27:04Z,66510,JavaScript,JavaScript
cline/cline,2024-07-06T07:28:10Z,66477,TypeScript,"TypeScript, JavaScript, CSS, Rust, HTML"
TheAlgorithms/Java,2016-07-16T10:21:02Z,66169,Java,"Java, Dockerfile"
facebook/docusaurus,2017-06-20T16:13:53Z,65998,TypeScript,"TypeScript, JavaScript, CSS, XSLT, AppleScript"
webpack/webpack,2012-03-10T10:08:14Z,65969,JavaScript,"JavaScript, CSS, HTML, WebAssembly, TypeScript"
prometheus/prometheus,2012-11-24T11:14:12Z,65751,Go,"Go, TypeScript, Yacc, Shell, SCSS"
LadybirdBrowser/ladybird,2024-05-30T09:18:10Z,65740,C++,"C++, HTML, Rust, JavaScript, Python"
dani-garcia/vaultwarden,2018-02-17T22:40:20Z,65653,Rust,"Rust, Handlebars, TypeScript, Shell, Jinja"
kelseyhightower/nocode,2018-02-06T23:54:00Z,65645,Dockerfile,Dockerfile
microsoft/AI-For-Beginners,2021-03-03T16:27:36Z,65630,Jupyter Notebook,"Jupyter Notebook, Python, HTML, Vue, JavaScript"
santifer/career-ops,2026-04-04T18:21:18Z,65545,JavaScript,"JavaScript, TypeScript, Go, HTML, Shell"
Fission-AI/OpenSpec,2025-08-05T10:37:45Z,65494,TypeScript,"TypeScript, JavaScript, Shell, Nix, CSS"
alacritty/alacritty,2016-02-18T05:02:30Z,65424,Rust,"Rust, Shell, GLSL, Makefile"
lydiahallie/javascript-questions,2019-06-12T08:26:27Z,65317,Sem linguagem,Sem linguagem
kdn251/interviews,2017-02-14T18:19:25Z,65218,Java,Java
docling-project/docling,2024-07-09T07:50:26Z,65192,Python,"Python, Shell, Dockerfile, Makefile"
localstack/localstack,2016-10-25T23:48:03Z,65146,Python,"Python, Makefile, Shell, ANTLR, JavaScript"
Mintplex-Labs/anything-llm,2023-06-04T02:29:14Z,64914,JavaScript,"JavaScript, TypeScript, CSS, HTML, Shell"
shanraisshan/claude-code-best-practice,2025-10-31T14:15:28Z,64712,HTML,"HTML, Python"
gsd-build/get-shit-done,2025-12-14T14:17:12Z,64671,JavaScript,"JavaScript, TypeScript, Shell"
nocodb/nocodb,2017-10-29T18:51:48Z,64593,TypeScript,"TypeScript, Vue, JavaScript, PLpgSQL, SCSS"
traefik/traefik,2015-09-13T19:04:02Z,64497,Go,"Go, TypeScript, JavaScript, Shell, Makefile"
warpdotdev/warp,2021-07-08T18:48:08Z,64349,Rust,"Rust, Shell, Python, Objective-C, PowerShell"
ryanoasis/nerd-fonts,2014-12-05T04:31:17Z,64303,CSS,"CSS, Shell, Python, PowerShell, Dockerfile"
keras-team/keras,2015-03-28T00:35:42Z,64240,Python,"Python, Shell"
tw93/Mole,2025-09-23T06:38:40Z,64215,Shell,"Shell, Go, Python, Makefile"
scrapy/scrapy,2010-02-22T02:01:14Z,63962,Python,"Python, Go Template, HTML, Roff, Shell"
rust-lang/rustlings,2015-09-15T02:25:18Z,63905,Rust,"Rust, HTML, CSS, Shell, Just"
mem0ai/mem0,2023-06-20T08:58:36Z,63602,Python,"Python, TypeScript, Shell, JavaScript, CSS"
commaai/openpilot,2016-11-24T01:33:30Z,63451,Python,"Python, C++, Cap'n Proto, C, Shell"
FFmpeg/FFmpeg,2011-04-14T14:12:38Z,63448,C,"C, Assembly, Makefile, GLSL, C++"
tldr-pages/tldr,2013-12-08T07:34:43Z,63424,Markdown,"Markdown, Python, Shell, JavaScript, CSS"
ZhuLinsen/daily_stock_analysis,2026-01-10T06:43:20Z,63380,Python,"Python, TypeScript, JavaScript, CSS, Shell"
socketio/socket.io,2010-03-11T18:24:48Z,63191,TypeScript,"TypeScript, JavaScript, Shell, HTML, CSS"
asgeirtj/system_prompts_leaks,2025-05-03T02:43:56Z,63179,JavaScript,"JavaScript, Python"
NanmiCoder/MediaCrawler,2023-06-09T12:14:34Z,63031,Python,"Python, TypeScript"
virattt/ai-hedge-fund,2024-11-29T16:30:01Z,62960,Python,Python
resume/resume.github.com,2011-02-06T13:39:55Z,62884,JavaScript,"JavaScript, HTML, CSS, Ruby"
jgraph/drawio-desktop,2017-05-25T20:58:42Z,62687,JavaScript,"JavaScript, Shell, HTML"
git/git,2008-07-23T14:21:26Z,62660,C,"C, Shell, Perl, Tcl, Python"
pathwaycom/pathway,2022-11-27T13:01:14Z,62422,Python,"Python, Rust, HTML, Shell"
usememos/memos,2021-12-08T15:30:18Z,62358,Go,"Go, TypeScript, Shell, CSS, JavaScript"
topjohnwu/Magisk,2016-09-08T12:42:53Z,62302,Kotlin,"Kotlin, Rust, C++, Java, Shell"
youngyangyang04/leetcode-master,2019-12-14T12:05:42Z,62216,Shell,Shell
karpathy/nanoGPT,2022-12-28T00:51:12Z,62209,Python,Python
withastro/astro,2021-03-15T17:19:47Z,61864,TypeScript,"TypeScript, Astro, JavaScript, CSS, Vue"
PlexPt/awesome-chatgpt-prompts-zh,2022-12-12T01:55:03Z,61682,Sem linguagem,Sem linguagem
sansan0/TrendRadar,2025-04-28T11:42:16Z,61594,Python,"Python, HTML, Batchfile, Shell, Dockerfile"
reduxjs/redux,2015-05-29T23:53:15Z,61508,TypeScript,"TypeScript, JavaScript, CSS"
FuelLabs/sway,2021-01-19T20:54:33Z,61498,Rust,"Rust, Sway, Shell, LLVM, CSS"
minio/minio,2015-01-14T19:23:58Z,61387,Go,"Go, Shell, Makefile, Mustache, Go Template"
2dust/v2rayNG,2019-05-15T02:15:31Z,61318,Kotlin,"Kotlin, HTML, Shell"
lodash/lodash,2012-04-07T04:11:46Z,61290,JavaScript,"JavaScript, HTML, EJS"
RVC-Boss/GPT-SoVITS,2024-01-14T18:05:21Z,61051,Python,"Python, Shell, PowerShell, Jupyter Notebook, Dockerfile"
upstash/context7,2025-03-26T23:40:39Z,60975,TypeScript,"TypeScript, JavaScript, Dockerfile"
Solido/awesome-flutter,2017-05-07T11:45:27Z,60951,Dart,Dart
tw93/Pake,2022-10-14T09:32:57Z,60884,Rust,"Rust, Dockerfile, TypeScript"
h5bp/Front-end-Developer-Interview-Questions,2012-02-09T23:34:10Z,60872,Nunjucks,"Nunjucks, CSS, JavaScript"
1c7/chinese-independent-developer,2017-09-21T11:08:23Z,60858,Python,Python
ChrisTitusTech/winutil,2022-04-28T02:25:19Z,60855,PowerShell,"PowerShell, Batchfile"
xingshaocheng/architect-awesome,2018-04-06T13:30:58Z,60839,Sem linguagem,Sem linguagem
atom/atom,2012-01-20T18:18:21Z,60777,JavaScript,"JavaScript, Less, CoffeeScript, Shell, Batchfile"
ultralytics/ultralytics,2022-09-11T16:39:45Z,60771,Python,"Python, Shell, HTML, Dockerfile"
nuxt/nuxt,2016-10-26T11:18:47Z,60763,TypeScript,"TypeScript, Vue, HTML, JavaScript, Dockerfile"
coollabsio/coolify,2021-01-25T20:54:01Z,60755,PHP,"PHP, Blade, Shell, CSS, JavaScript"
pocketbase/pocketbase,2022-07-05T06:06:21Z,60732,Go,"Go, JavaScript, CSS, HTML, Makefile"
pbakaus/impeccable,2025-11-16T01:52:04Z,60592,JavaScript,"JavaScript, CSS, TypeScript, HTML, Svelte"
microsoft/autogen,2023-08-18T11:43:45Z,60517,Python,"Python, C#, TypeScript, HTML, JavaScript"
pi-hole/pi-hole,2014-06-08T15:02:55Z,60471,Shell,"Shell, Dockerfile, Roff"
marktext/marktext,2017-11-12T16:05:25Z,60301,TypeScript,"TypeScript, JavaScript, CSS, Vue, HTML"
adam-p/markdown-here,2012-05-13T03:27:22Z,60250,JavaScript,"JavaScript, CSS, HTML, Makefile"
sharkdp/bat,2018-04-21T10:52:23Z,60217,Rust,"Rust, Python, Shell, Nix, Batchfile"
spring-projects/spring-framework,2010-12-08T04:04:45Z,60201,Java,"Java, Kotlin, AspectJ, FreeMarker, Groovy"
CorentinJ/Real-Time-Voice-Cloning,2019-05-26T08:56:15Z,60090,Python,Python
ghostty-org/ghostty,2022-03-29T17:38:26Z,59883,Zig,"Zig, Swift, C, C++, Shell"
jquery/jquery,2009-04-03T15:20:14Z,59776,JavaScript,"JavaScript, HTML, PHP, Shell, CSS"
byoungd/up,2017-05-30T07:18:52Z,59675,JavaScript,JavaScript
shadowsocks/shadowsocks-windows,2013-01-14T07:54:16Z,59568,C#,"C#, JavaScript, Shell"
meta-llama/llama,2023-02-14T09:29:12Z,59565,Python,"Python, Shell"
starship/starship,2019-04-02T03:23:12Z,59483,Rust,"Rust, Shell, PowerShell, Nushell, Lua"
FiloSottile/mkcert,2018-06-25T05:33:03Z,59468,Go,Go
termux/termux-app,2015-10-23T09:42:46Z,59448,Java,"Java, C++, C, Shell, Makefile"
rclone/rclone,2014-03-16T16:19:57Z,59261,Go,"Go, Shell, Python, HTML, JavaScript"
meilisearch/meilisearch,2018-04-23T11:45:28Z,59015,Rust,"Rust, Shell, Dockerfile"
pathwaycom/llm-app,2023-07-19T08:43:37Z,59007,Jupyter Notebook,"Jupyter Notebook, Python, Dockerfile"
rust-unofficial/awesome-rust,2014-07-17T10:45:10Z,58897,Rust,Rust
penpot/penpot,2015-12-29T22:09:07Z,58887,Clojure,"Clojure, JavaScript, Rust, TypeScript, SCSS"
mvanhorn/last30days-skill,2026-01-23T20:37:37Z,58697,Python,"Python, Go, Shell, HTML"
rails/rails,2008-04-11T02:19:47Z,58694,Ruby,"Ruby, JavaScript, HTML, SCSS, CSS"
tiimgreen/github-cheat-sheet,2014-04-12T16:38:42Z,58604,Sem linguagem,Sem linguagem
pmndrs/zustand,2019-04-09T09:10:06Z,58583,TypeScript,"TypeScript, JavaScript"
angular/angular.js,2010-01-06T00:34:37Z,58536,JavaScript,"JavaScript, HTML, Shell, BitBake, CSS"
MemPalace/mempalace,2026-04-05T01:12:07Z,58463,Python,"Python, Shell, HTML, CSS, Vue"
FoundationAgents/OpenManus,2025-03-06T14:08:14Z,58013,Python,"Python, TypeScript, Dockerfile"
ultralytics/yolov5,2020-05-18T03:45:11Z,57905,Python,"Python, Shell, Dockerfile"
h5bp/html5-boilerplate,2010-01-24T18:03:24Z,57594,JavaScript,"JavaScript, HTML"
scutan90/DeepLearning-500-questions,2018-06-27T06:36:45Z,57537,JavaScript,"JavaScript, HTML"
go-gitea/gitea,2016-11-01T02:13:26Z,57495,Go,"Go, Handlebars, TypeScript, CSS, JavaScript"
deepfakes/faceswap,2017-12-19T09:44:13Z,57469,Python,"Python, Shell, NSIS"
zylon-ai/private-gpt,2023-05-02T09:15:31Z,57444,Python,"Python, HTML, MDX, Jinja, Dockerfile"
crewAIInc/crewAI,2023-10-27T03:26:59Z,57318,Python,"Python, JavaScript, CSS, Jinja, Shell"
karpathy/nanochat,2025-10-13T13:46:35Z,57312,Python,"Python, Jupyter Notebook, Shell"
wasabeef/awesome-android-ui,2014-12-24T01:45:03Z,57250,Sem linguagem,Sem linguagem
Textualize/rich,2019-11-10T15:28:09Z,57087,Python,"Python, Batchfile, Makefile"
appwrite/appwrite,2019-04-08T16:36:25Z,57057,TypeScript,"TypeScript, PHP, Shell, Dockerfile, JavaScript"
FuelLabs/fuel-core,2020-08-27T21:12:14Z,56899,Rust,"Rust, Lua, Shell, Dockerfile, Makefile"
soimort/you-get,2012-08-20T15:53:36Z,56872,Python,"Python, Shell, Makefile"
remotion-dev/remotion,2020-06-23T19:49:10Z,56823,TypeScript,"TypeScript, PHP, MDX, JavaScript, Rust"
BerriAI/litellm,2023-07-27T00:09:52Z,56755,Python,"Python, TypeScript, HTML, Rust, HCL"
ageitgey/face_recognition,2017-03-03T21:52:39Z,56668,Python,"Python, Dockerfile, Makefile"
remix-run/react-router,2014-05-16T22:22:51Z,56557,TypeScript,"TypeScript, JavaScript, CSS, Shell, MDX"
golang-standards/project-layout,2017-09-09T16:33:26Z,56476,Makefile,Makefile
makeplane/plane,2022-11-19T12:55:01Z,56139,TypeScript,"TypeScript, Python, HTML, CSS, Shell"
Zie619/n8n-workflows,2025-05-14T08:43:59Z,56122,Python,"Python, HTML, PLpgSQL, JavaScript, Shell"
laurent22/joplin,2017-01-16T21:49:41Z,56009,TypeScript,"TypeScript, JavaScript, Rust, HTML, CSS"
jellyfin/jellyfin,2018-12-09T06:36:45Z,55944,C#,"C#, HTML, Shell, CSS"
gatsbyjs/gatsby,2015-05-21T22:43:05Z,55942,JavaScript,"JavaScript, TypeScript, CSS, HTML, MDX"
azl397985856/leetcode,2018-03-30T09:13:51Z,55758,JavaScript,"JavaScript, Python, Ruby"
Raphire/Win11Debloat,2020-10-27T22:26:59Z,55708,PowerShell,"PowerShell, Batchfile"
firstcontributions/first-contributions,2016-09-20T14:35:09Z,55560,Sem linguagem,Sem linguagem
typst/typst,2019-09-24T21:41:56Z,55524,Rust,"Rust, Typst, JavaScript, TypeScript, CSS"
usestrix/strix,2025-08-05T21:28:30Z,55508,Python,"Python, Go, TypeScript, Jinja, Shell"
FlowiseAI/Flowise,2023-03-31T12:23:09Z,55380,TypeScript,"TypeScript, JavaScript, HTML, Handlebars, CSS"
AntonOsika/gpt-engineer,2023-04-29T12:52:15Z,55134,Python,"Python, Makefile, HTML, Dockerfile, Shell"
twentyhq/twenty,2022-12-01T13:04:40Z,55127,TypeScript,"TypeScript, MDX, JavaScript, Python, CSS"
PowerShell/PowerShell,2016-01-13T23:41:35Z,54990,C#,"C#, PowerShell, Roff, Shell, HTML"
romkatv/powerlevel10k,2019-02-24T19:09:45Z,54941,Shell,"Shell, C++, Makefile"
ngosang/trackerslist,2016-04-24T11:57:57Z,54904,Sem linguagem,Sem linguagem
jingyaogong/minimind,2024-07-27T04:34:12Z,54834,Python,Python
TryGhost/Ghost,2013-05-04T11:09:13Z,54796,JavaScript,"JavaScript, TypeScript, CSS, Handlebars, HTML"
facebookresearch/segment-anything,2023-03-23T17:03:03Z,54709,Jupyter Notebook,"Jupyter Notebook, Python, Shell"
WerWolv/ImHex,2020-11-10T14:27:00Z,54510,C++,"C++, CMake, Objective-C, C#, GLSL"
wagoodman/dive,2018-05-13T15:44:01Z,54475,Go,"Go, Makefile, Dockerfile"
lencx/ChatGPT,2022-12-07T09:43:02Z,54446,Rust,"Rust, TypeScript, JavaScript, HTML, CSS"
maybe-finance/maybe,2024-01-01T22:23:46Z,54321,Ruby,"Ruby, HTML, JavaScript, CSS, Shell"
psf/requests,2011-02-13T18:38:17Z,54241,Python,"Python, Makefile"
vuejs/core,2018-06-12T13:49:36Z,54222,TypeScript,"TypeScript, JavaScript, HTML, Vue, CSS"
ElemeFE/element,2016-09-03T06:19:26Z,54056,Vue,"Vue, JavaScript, SCSS, Shell, Makefile"
agalwood/Motrix,2018-12-18T11:45:05Z,53998,TypeScript,"TypeScript, JavaScript, Rust, CSS, Dockerfile"
odoo/odoo,2014-05-13T15:38:58Z,53800,Python,"Python, JavaScript, SCSS, Fluent, CSS"
google/material-design-icons,2014-10-08T18:01:28Z,53782,Sem linguagem,Sem linguagem
mozilla/pdf.js,2011-04-26T06:32:03Z,53755,JavaScript,"JavaScript, Fluent, CSS, HTML, Python"
necolas/normalize.css,2011-05-04T10:20:25Z,53521,CSS,CSS
freqtrade/freqtrade,2017-05-17T23:48:53Z,53434,Python,"Python, Jinja, PowerShell, Jupyter Notebook, Shell"
JetBrains/kotlin,2012-02-13T17:29:58Z,53352,Kotlin,"Kotlin, Java, C, C++, Objective-C++"
chinese-poetry/chinese-poetry,2016-09-02T03:32:25Z,53179,JavaScript,"JavaScript, Python"
vsouza/awesome-ios,2014-07-10T16:03:45Z,53106,Swift,Swift
ggml-org/whisper.cpp,2022-09-25T18:26:37Z,53035,C++,"C++, C, Cuda, Metal, GLSL"
aaif-goose/goose,2024-08-23T19:03:36Z,52993,Rust,"Rust, TypeScript, Python, Shell, HTML"
microsoft/VibeVoice,2025-08-25T13:24:01Z,52927,Python,Python
dockur/windows,2024-01-14T13:09:40Z,52900,Shell,"Shell, Batchfile, Dockerfile"
lyswhut/lx-music-desktop,2019-08-14T14:31:08Z,52891,TypeScript,"TypeScript, Vue, JavaScript, Less, HTML"
sickcodes/Docker-OSX,2020-06-04T11:01:37Z,52868,Shell,"Shell, Dockerfile, Python, Mustache"
hesreallyhim/awesome-claude-code,2025-04-19T20:55:59Z,52625,Python,"Python, Makefile"
ionic-team/ionic-framework,2013-08-20T23:06:02Z,52619,TypeScript,"TypeScript, HTML, SCSS, JavaScript, Vue"
jesseduffield/lazydocker,2019-05-18T08:53:50Z,52544,Go,"Go, Shell, Dockerfile"
lllyasviel/Fooocus,2023-08-09T18:43:40Z,52419,Python,"Python, JavaScript, CSS, Dockerfile, Jupyter Notebook"
prettier/prettier,2016-11-29T17:13:37Z,52204,JavaScript,"JavaScript, CSS, Vue, HTML, MDX"
xai-org/grok-1,2024-03-17T08:53:38Z,52160,Python,Python
etcd-io/etcd,2013-07-06T21:57:21Z,52128,Go,"Go, Shell, Jsonnet, Makefile, Procfile"
bmad-code-org/BMAD-METHOD,2025-04-13T14:54:25Z,52071,JavaScript,"JavaScript, Python, HTML, CSS, Shell"
VoltAgent/awesome-openclaw-skills,2026-01-25T09:22:32Z,52053,Sem linguagem,Sem linguagem
google/guava,2014-05-29T16:23:17Z,51886,Java,"Java, Shell, JavaScript, HTML"
anthropics/claude-cookbooks,2023-08-15T20:23:51Z,51850,Jupyter Notebook,"Jupyter Notebook, Python, TypeScript, Shell, CSS"
dkhamsing/open-source-ios-apps,2015-01-26T23:32:34Z,51759,Sem linguagem,Sem linguagem
run-llama/llama_index,2022-11-02T04:24:54Z,51744,Python,"Python, Jupyter Notebook, Makefile, JavaScript, HTML"
expo/expo,2016-08-15T17:14:25Z,51702,TypeScript,"TypeScript, Kotlin, Swift, JavaScript, Objective-C"
Avik-Jain/100-Days-Of-ML-Code,2018-07-05T09:11:43Z,51651,Sem linguagem,Sem linguagem
jekyll/jekyll,2008-10-20T06:29:03Z,51637,Ruby,"Ruby, Gherkin, JavaScript, HTML, Shell"
dbeaver/dbeaver,2015-10-21T08:26:28Z,51476,Java,"Java, C++, JavaScript, ANTLR, CSS"
charlax/professional-programming,2015-11-07T05:07:52Z,51429,Python,"Python, HTML"
poteto/hiring-without-whiteboards,2017-03-15T05:09:01Z,51410,JavaScript,JavaScript
DefinitelyTyped/DefinitelyTyped,2012-10-05T16:39:45Z,51375,TypeScript,"TypeScript, JavaScript, Shell"
ethereum/go-ethereum,2013-12-26T13:05:46Z,51300,Go,"Go, C, JavaScript, Assembly, Sage"
justjavac/wechat-miniapp-radar,2016-09-22T20:04:48Z,51183,TypeScript,"TypeScript, CSS, JavaScript"
Semantic-Org/Semantic-UI,2013-04-08T23:32:04Z,51028,JavaScript,"JavaScript, Less, HTML"
diegosouzapw/OmniRoute,2026-02-13T12:38:31Z,51018,TypeScript,"TypeScript, JavaScript, Shell, Python, Dockerfile"
cypress-io/cypress,2015-03-04T00:46:28Z,50978,TypeScript,"TypeScript, JavaScript, Vue, HTML, SCSS"
jamiepine/voicebox,2026-01-25T12:27:03Z,50842,TypeScript,"TypeScript, Python, Rust, Shell, Just"
CherryHQ/cherry-studio,2024-05-24T01:56:26Z,50776,TypeScript,"TypeScript, JavaScript, CSS, HTML, Python"
bannedbook/fanqiang,2015-01-14T00:34:25Z,50411,Kotlin,"Kotlin, JavaScript, HTML, Java, Shell"
nlohmann/json,2013-07-04T08:47:49Z,50401,C++,"C++, CMake, Python, Makefile, Starlark"
mastodon/mastodon,2016-02-22T15:01:25Z,50221,Ruby,"Ruby, TypeScript, JavaScript, SCSS, Haml"
TanStack/query,2019-09-10T19:23:58Z,50165,TypeScript,"TypeScript, JavaScript, Svelte, Vue, HTML"
skylot/jadx,2013-03-18T17:08:21Z,50131,Java,"Java, Smali, Kotlin, Lex, Go Template"
serhii-londar/open-source-mac-os-apps,2017-11-03T02:35:33Z,50088,Sem linguagem,Sem linguagem
AlistGo/alist,2020-12-23T17:40:29Z,50059,Go,"Go, Shell, Dockerfile, Makefile"
jgthms/bulma,2016-01-23T23:48:34Z,50053,CSS,"CSS, SCSS, JavaScript, Shell, Sass"
chenglou/pretext,2026-03-07T21:06:28Z,49935,TypeScript,"TypeScript, HTML"
tldraw/tldraw,2021-05-09T11:48:37Z,49862,TypeScript,"TypeScript, MDX, CSS, JavaScript, HTML"
huginn/huginn,2013-03-10T06:00:31Z,49824,Ruby,"Ruby, HTML, JavaScript, Shell, Dockerfile"
NARKOZ/hacker-scripts,2015-11-21T19:05:09Z,49801,JavaScript,"JavaScript, Python, Java, Perl, Kotlin"
Lordog/dive-into-llms,2024-04-08T13:11:40Z,49756,Jupyter Notebook,Jupyter Notebook
jakevdp/PythonDataScienceHandbook,2016-08-10T14:24:36Z,49636,Jupyter Notebook,"Jupyter Notebook, Python, HTML, CSS, Less"
roboflow/supervision,2022-11-28T14:08:44Z,49538,Python,Python
pandas-dev/pandas,2010-08-24T01:37:33Z,49519,Python,"Python, Cython, C, HTML, C++"
kelseyhightower/kubernetes-the-hard-way,2016-07-07T14:15:27Z,49502,Sem linguagem,Sem linguagem
hashicorp/terraform,2014-03-13T22:25:48Z,49487,Go,"Go, HCL, Shell, Dockerfile, Makefile"
ChromeDevTools/chrome-devtools-mcp,2025-09-11T10:39:55Z,49408,TypeScript,"TypeScript, JavaScript, HTML"
ClickHouse/ClickHouse,2016-06-02T08:28:18Z,49338,C++,"C++, Python, Shell, Assembly, C"
chen08209/FlClash,2023-08-15T07:47:22Z,49265,Dart,"Dart, Kotlin, Rust, C++, Go"
astral-sh/ruff,2022-08-09T17:17:44Z,49254,Rust,"Rust, Python, TypeScript, Shell, CSS"
Homebrew/brew,2016-03-06T05:08:38Z,49206,Ruby,"Ruby, Shell, Roff, HTML, Rich Text Format"
x64dbg/x64dbg,2015-04-11T20:48:23Z,49199,C++,"C++, C, Python, CMake, CSS"
GokuMohandas/Made-With-ML,2018-11-05T03:44:27Z,49142,Jupyter Notebook,"Jupyter Notebook, Python, Shell, Makefile"
apple/container,2025-05-30T21:26:05Z,49074,Swift,"Swift, Shell, Makefile, C"
JuliaLang/julia,2011-04-21T07:01:50Z,49018,Julia,"Julia, C, C++, Tree-sitter Query, Makefile"
bigskysoftware/htmx,2020-04-13T16:17:51Z,48978,JavaScript,"JavaScript, HTML, CSS, TypeScript, Ruby"
calesthio/OpenMontage,2026-03-29T15:23:22Z,48918,Python,"Python, HTML, JavaScript, TypeScript, CSS"
stablyai/orca,2026-03-17T03:28:57Z,48915,TypeScript,"TypeScript, JavaScript, Swift, CSS, HTML"
metabase/metabase,2015-02-02T19:25:47Z,48834,Clojure,"Clojure, TypeScript, JavaScript, CSS, Shell"
akullpp/awesome-java,2014-07-09T10:12:43Z,48786,Sem linguagem,Sem linguagem
tmux/tmux,2015-06-03T23:32:55Z,48721,C,"C, Shell, Roff, Yacc, M4"
algorithm-visualizer/algorithm-visualizer,2016-05-15T00:27:45Z,48671,JavaScript,"JavaScript, SCSS, HTML, Java, C++"
iamkun/dayjs,2018-04-10T09:26:44Z,48664,JavaScript,JavaScript
DovAmir/awesome-design-patterns,2018-06-04T17:47:48Z,48620,Sem linguagem,Sem linguagem
upscayl/upscayl,2022-07-30T17:19:20Z,48611,TypeScript,"TypeScript, JavaScript, CSS, Python, Shell"
mudler/LocalAI,2023-03-18T22:58:02Z,48579,Go,"Go, JavaScript, C++, Python, HTML"
KRTirtho/spotube,2021-02-14T03:17:58Z,48499,Dart,"Dart, MDX, C++, Astro, CMake"
nilbuild/design-patterns-for-humans,2017-02-16T21:24:39Z,48460,Sem linguagem,Sem linguagem
type-challenges/type-challenges,2020-07-23T14:33:11Z,48445,TypeScript,"TypeScript, HTML, CSS, JavaScript, Shell"
Aider-AI/aider,2023-05-09T18:57:49Z,48324,Python,"Python, CSS, Shell, Tree-sitter Query, JavaScript"
brillout/awesome-react-components,2016-06-24T15:19:33Z,48228,Sem linguagem,Sem linguagem
ReactiveX/RxJava,2013-01-08T20:11:48Z,48202,Java,"Java, CSS, Shell"
slidevjs/slidev,2021-04-24T01:25:23Z,48152,TypeScript,"TypeScript, Vue, JavaScript, CSS, HTML"
moeru-ai/airi,2024-12-01T16:33:36Z,48093,TypeScript,"TypeScript, Vue, GDScript, C#, JavaScript"
pixijs/pixijs,2013-01-21T22:40:50Z,48036,TypeScript,"TypeScript, JavaScript, MDX, WGSL, CSS"
hugohe3/ppt-master,2025-12-10T06:54:33Z,47990,Python,"Python, JavaScript, HTML, CSS"
router-for-me/CLIProxyAPI,2025-07-01T19:43:27Z,47919,Go,"Go, PowerShell, Shell, Dockerfile"
moment/moment,2011-03-01T02:46:06Z,47914,JavaScript,"JavaScript, TypeScript, Shell"
karan/Projects,2013-07-04T13:37:27Z,47877,Sem linguagem,Sem linguagem
HKUDS/CLI-Anything,2026-03-08T13:52:57Z,47810,Python,"Python, C#, Shell, JavaScript, TypeScript"
